id,application_id,name,full_name,pan,mobile,email,gender,age,date_of_birth,cibil,cibil_score,monthly_income,loan_amt,loan_amount_requested,tenure_months,existing_emi,type,loan_type,city,employment_type,loan_purpose,indicative_rate,property_type,created
RET-000016,RET-000016,Kavita Pandya,Kavita Pandya,ORTKF8090S,9493231539,kavita16@outlook.com,M,25,2001-08-24,718,718,71461,1200000,1200000,12,13460,personal_loan,personal_loan,Bengaluru,self_employed_professional,Solar panel installation,12.86,,2025-03-28
RET-000017,RET-000017,Muskan Hariharan,Muskan Hariharan,ZXMFT3919T,9764173056,muskan17@outlook.com,M,34,1992-02-12,776,776,44677,1400000,1400000,48,1510,personal_loan,personal_loan,Mumbai,self_employed_professional,Personal expenses,14.13,,2026-01-15
RET-000018,RET-000018,Aadhira Salunkhe,Aadhira Salunkhe,NCIRE7049X,9867525746,aadhira18@hotmail.com,O,38,1988-02-10,805,805,57636,180000,180000,6,18447,gold_loan,gold_loan,Bengaluru,salaried,Education,17.14,,2025-03-07
RET-000019,RET-000019,Lakshmi Veerasamy,Lakshmi Veerasamy,MPWMU5775V,9841146724,lakshmi19@gmail.com,M,53,1973-06-24,776,776,80042,1100000,1100000,120,18515,home_loan,home_loan,Pune,salaried,Consumer durables,9.51,under_construction,2024-04-12
RET-000020,RET-000020,Juhi Naidu,Juhi Naidu,QYBMN6674T,9251109535,juhi20@hotmail.com,O,41,1985-04-02,880,880,43228,190000,190000,24,7884,gold_loan,gold_loan,Hyderabad,salaried,Home renovation,11.44,,2024-10-24
RET-000021,RET-000021,Abirami Toor,Abirami Toor,QCXTB7748L,9470636949,abirami21@hotmail.com,F,59,1967-03-02,757,757,49205,1400000,1400000,36,12163,auto_loan,auto_loan,Bengaluru,salaried,Home appliances,11.28,,2024-06-21
RET-000022,RET-000022,Aparna Bhattacharya,Aparna Bhattacharya,FWJNZ9854R,9969660029,aparna22@yahoo.co.in,M,35,1991-10-11,796,796,33964,300000,300000,72,3976,auto_loan,auto_loan,Bengaluru,salaried,Business expansion,11.07,,2025-03-15
RET-000023,RET-000023,Simran Malhotra,Simran Malhotra,JZBUV9975R,9259197973,simran23@yahoo.co.in,O,38,1988-03-19,688,688,44356,2400000,2400000,48,5831,personal_loan,personal_loan,Lucknow,self_employed_non_professional,Travel,16.41,,2024-05-24
RET-000024,RET-000024,Aditi Maheshwari,Aditi Maheshwari,OCEFY8577Z,9685218303,aditi24@hotmail.com,F,31,1995-07-03,673,673,141667,6200000,6200000,240,10635,home_loan,home_loan,Nagpur,self_employed_professional,Solar panel installation,11.47,under_construction,2024-04-17
RET-000025,RET-000025,Ashish Ramasamy,Ashish Ramasamy,PNYCU6502P,9651721389,ashish25@outlook.com,M,25,2001-05-04,655,655,28255,1700000,1700000,120,7040,home_loan,home_loan,Pune,self_employed_non_professional,Travel,13.87,under_construction,2026-01-21
RET-000026,RET-000026,Meghana Raval,Meghana Raval,ZCNTH3363D,9307373386,meghana26@rediffmail.com,O,29,1997-09-06,859,859,139860,1000000,1000000,60,5283,auto_loan,auto_loan,Bengaluru,self_employed_professional,Home renovation,12.75,,2025-02-15
RET-000027,RET-000027,Sonia Chauhan,Sonia Chauhan,RRWYL3989Z,9529931152,sonia27@gmail.com,O,31,1995-09-08,830,830,350077,3000000,3000000,180,75550,home_loan,home_loan,Bengaluru,self_employed_professional,Vehicle purchase,15.51,ready_to_move,2026-01-05
RET-000028,RET-000028,Manoj Dwivedi,Manoj Dwivedi,SDKJX1397I,9680038810,manoj28@hotmail.com,O,39,1987-11-16,894,894,48162,60000,60000,12,11954,gold_loan,gold_loan,Indore,self_employed_professional,Solar panel installation,14.36,,2024-12-04
RET-000029,RET-000029,Advika Bains,Advika Bains,PQKSS4376D,9266094514,advika29@rediffmail.com,M,46,1980-07-13,794,794,67561,100000,100000,36,16690,personal_loan,personal_loan,Bengaluru,self_employed_professional,Business expansion,14.43,,2025-11-07
RET-000030,RET-000030,Yash Gupta,Yash Gupta,OOIVE1612X,9310986611,yash30@hotmail.com,O,55,1971-11-02,720,720,31714,1200000,1200000,60,6189,education_loan,education_loan,Hyderabad,salaried,Home renovation,14.93,,2024-06-23
RET-000031,RET-000031,Radhika Dhaliwal,Radhika Dhaliwal,QLLDB1830V,9417867675,radhika31@yahoo.co.in,F,57,1969-04-02,689,689,114656,1600000,1600000,72,20758,auto_loan,auto_loan,Hyderabad,salaried,Education,14.28,,2026-01-14
RET-000032,RET-000032,Vedant Srivastava,Vedant Srivastava,BLUYW6359V,9654242853,vedant32@outlook.com,M,47,1979-11-15,761,761,58642,3900000,3900000,120,18081,home_loan,home_loan,Mumbai,salaried,Vehicle purchase,10.73,ready_to_move,2024-05-05
RET-000033,RET-000033,Aaliya Sarkar,Aaliya Sarkar,UPAYG6430K,9804794311,aaliya33@gmail.com,M,22,2004-06-14,796,796,48944,3000000,3000000,120,2447,home_loan,home_loan,Pune,self_employed_professional,Wedding,17.53,ready_to_move,2025-02-18
RET-000034,RET-000034,Puja Deol,Puja Deol,KRRAX2475T,9613164328,puja34@gmail.com,F,54,1972-08-11,753,753,54396,6600000,6600000,180,9696,home_loan,home_loan,Hyderabad,self_employed_professional,Home appliances,17.81,under_construction,2025-09-12
RET-000035,RET-000035,Urvashi Brar,Urvashi Brar,BUTWD2541R,9437119989,urvashi35@gmail.com,F,24,2002-12-01,662,662,34237,5100000,5100000,180,9587,home_loan,home_loan,Bengaluru,self_employed_professional,Solar panel installation,12.52,ready_to_move,2025-02-03
RET-000036,RET-000036,Aahan Pinto,Aahan Pinto,FBNEB5055S,9322480029,aahan36@gmail.com,M,48,1978-06-25,871,871,296440,2100000,2100000,60,86034,personal_loan,personal_loan,Bengaluru,self_employed_non_professional,Home appliances,16.78,,2025-08-08
RET-000037,RET-000037,Ashish Pawar,Ashish Pawar,OUEZD6731K,9515555151,ashish37@rediffmail.com,M,55,1971-12-22,781,781,253439,3900000,3900000,120,50139,home_loan,home_loan,Bengaluru,self_employed_non_professional,Education,18.21,ready_to_move,2025-06-17
RET-000038,RET-000038,Vaishnavi Joseph,Vaishnavi Joseph,RUZHK7367K,9177797216,vaishnavi38@yahoo.co.in,F,46,1980-12-26,719,719,120748,1400000,1400000,60,24690,education_loan,education_loan,Pune,self_employed_non_professional,Education,16.22,,2024-06-12
RET-000039,RET-000039,Preethi Rodrigues,Preethi Rodrigues,UJZVE5903F,9870351428,preethi39@gmail.com,O,36,1990-04-15,783,783,101487,1700000,1700000,60,21788,personal_loan,personal_loan,Bengaluru,self_employed_non_professional,Travel,14.06,,2024-10-31
RET-000040,RET-000040,Gopal Palaniswamy,Gopal Palaniswamy,RFECN6472Y,9951519154,gopal40@yahoo.co.in,F,47,1979-07-05,795,795,63773,1200000,1200000,36,1017,auto_loan,auto_loan,Coimbatore,salaried,Debt consolidation,17.3,,2025-12-30
RET-000041,RET-000041,Aakash Vedak,Aakash Vedak,YIOGL7033S,9157348812,aakash41@gmail.com,O,29,1997-06-11,819,819,120135,2200000,2200000,48,10926,personal_loan,personal_loan,Ahmedabad,self_employed_non_professional,Solar panel installation,11.07,,2025-10-11
RET-000042,RET-000042,Nagesh Subramaniam,Nagesh Subramaniam,KBDSF8804F,9768571800,nagesh42@yahoo.co.in,F,51,1975-01-11,735,735,31031,700000,700000,72,7989,auto_loan,auto_loan,Bengaluru,salaried,Home renovation,15.26,,2025-06-08
RET-000043,RET-000043,Rajni Dhull,Rajni Dhull,LSLVR2403C,9868184124,rajni43@rediffmail.com,O,52,1974-06-21,837,837,303237,100000,100000,60,31743,personal_loan,personal_loan,Surat,salaried,Home renovation,10.85,,2024-05-30
RET-000044,RET-000044,Ramesh Phogat,Ramesh Phogat,JPMNM6272L,9354105006,ramesh44@rediffmail.com,O,30,1996-05-15,824,824,132798,1400000,1400000,36,20076,personal_loan,personal_loan,Bengaluru,salaried,Vehicle purchase,10.51,,2025-04-09
RET-000045,RET-000045,Veena Kumar,Veena Kumar,ZAGEF8593O,9694730160,veena45@gmail.com,F,38,1988-05-06,851,851,149759,1600000,1600000,24,9213,personal_loan,personal_loan,Bengaluru,salaried,Consumer durables,15.51,,2025-11-14
RET-000046,RET-000046,Shivani Datar,Shivani Datar,KTMQU9377P,9148717106,shivani46@hotmail.com,M,34,1992-10-13,779,779,58519,700000,700000,36,9162,personal_loan,personal_loan,Kolkata,self_employed_professional,Solar panel installation,17.14,,2025-06-25
RET-000047,RET-000047,Tanisha Shanmugam,Tanisha Shanmugam,ZOBQI8870O,9868348712,tanisha47@yahoo.co.in,O,49,1977-05-26,792,792,126235,700000,700000,72,20503,auto_loan,auto_loan,Pune,self_employed_professional,Wedding,16.99,,2024-09-12
RET-000048,RET-000048,Aazeen Chakraborty,Aazeen Chakraborty,JDYER9997H,9854122147,aazeen48@hotmail.com,M,46,1980-06-09,727,727,389100,1000000,1000000,60,110711,auto_loan,auto_loan,Hyderabad,self_employed_non_professional,Debt consolidation,10.66,,2024-12-03
RET-000049,RET-000049,Achal Dwivedi,Achal Dwivedi,UDOZK8809K,9870294259,achal49@rediffmail.com,M,57,1969-02-07,670,670,140524,170000,170000,24,11573,gold_loan,gold_loan,Bengaluru,self_employed_non_professional,Debt consolidation,10.17,,2024-03-25
RET-000050,RET-000050,Chanchal Nijjar,Chanchal Nijjar,VCBPW4806D,9543018185,chanchal50@outlook.com,O,53,1973-07-11,792,792,48354,2800000,2800000,300,3845,home_loan,home_loan,Bengaluru,salaried,Vehicle purchase,14.07,under_construction,2025-01-28
RET-000051,RET-000051,Yashika Karuppusamy,Yashika Karuppusamy,XQRUV9192T,9618464610,yashika51@outlook.com,M,43,1983-05-15,641,641,137986,1100000,1100000,240,11560,home_loan,home_loan,Indore,salaried,Consumer durables,9.65,ready_to_move,2024-04-26
RET-000052,RET-000052,Urvashi Pinto,Urvashi Pinto,JQJKZ3878W,9614819427,urvashi52@yahoo.co.in,O,34,1992-10-17,714,714,137518,7200000,7200000,120,6173,home_loan,home_loan,Bengaluru,self_employed_non_professional,Vehicle purchase,11.6,under_construction,2024-04-08
RET-000053,RET-000053,Parth Rathore,Parth Rathore,SEVBN9617Q,9839500709,parth53@gmail.com,M,37,1989-02-09,711,711,131807,1800000,1800000,48,29085,auto_loan,auto_loan,Delhi,self_employed_professional,Wedding,15.89,,2025-05-31
RET-000054,RET-000054,Sumanth Jain,Sumanth Jain,PPKVP7083Y,9857007004,sumanth54@hotmail.com,M,26,2000-08-24,629,629,78914,1800000,1800000,24,10993,personal_loan,personal_loan,Bengaluru,self_employed_professional,Vehicle purchase,10.36,,2025-02-06
RET-000055,RET-000055,Akanksha Nair,Akanksha Nair,UYFQR3135B,9758478161,akanksha55@rediffmail.com,F,58,1968-07-03,726,726,27776,150000,150000,18,3306,gold_loan,gold_loan,Bengaluru,self_employed_professional,Solar panel installation,17.27,,2024-08-09
RET-000056,RET-000056,Bhavana Kapoor,Bhavana Kapoor,WNARP5975P,9221454020,bhavana56@outlook.com,O,42,1984-01-05,741,741,314730,900000,900000,24,4619,personal_loan,personal_loan,Bengaluru,salaried,Medical emergency,11.06,,2025-09-21
RET-000057,RET-000057,Simran Noronha,Simran Noronha,CHYEY8314X,9486079201,simran57@outlook.com,M,51,1975-08-13,797,797,29067,2100000,2100000,12,9380,personal_loan,personal_loan,Chennai,salaried,Medical emergency,12.57,,2024-11-26
RET-000058,RET-000058,Aakash Gill,Aakash Gill,OLIEE8176D,9786285846,aakash58@rediffmail.com,M,33,1993-01-07,786,786,163914,1900000,1900000,48,5854,personal_loan,personal_loan,Hyderabad,self_employed_non_professional,Personal expenses,10.54,,2025-05-26
RET-000059,RET-000059,Madhav Natarajan,Madhav Natarajan,LXLWL6896I,9130456561,madhav59@yahoo.co.in,F,42,1984-11-12,751,751,137693,160000,160000,24,44356,gold_loan,gold_loan,Delhi,self_employed_non_professional,Home appliances,15.61,,2024-11-19
RET-000060,RET-000060,Abhilasha Govindasamy,Abhilasha Govindasamy,RKPYK5188D,9622491281,abhilasha60@rediffmail.com,M,39,1987-05-02,828,828,23390,1200000,1200000,60,7350,auto_loan,auto_loan,Pune,self_employed_non_professional,Wedding,10.97,,2024-07-29
RET-000061,RET-000061,Vandana Saini,Vandana Saini,ZPUAJ6357C,9805623267,vandana61@rediffmail.com,M,25,2001-06-16,748,748,30054,8000000,8000000,240,9360,home_loan,home_loan,Indore,salaried,Solar panel installation,17.19,under_construction,2025-12-08
RET-000062,RET-000062,Aachal Joseph,Aachal Joseph,SPWXL4057S,9103567375,aachal62@hotmail.com,O,34,1992-10-03,835,835,31232,1300000,1300000,48,8173,personal_loan,personal_loan,Bengaluru,self_employed_professional,Medical emergency,14.83,,2025-06-15
RET-000063,RET-000063,Vrinda Pinto,Vrinda Pinto,LSIXG7639C,9564938772,vrinda63@rediffmail.com,O,30,1996-04-24,773,773,273360,1100000,1100000,48,82651,auto_loan,auto_loan,Delhi,self_employed_non_professional,Wedding,18.15,,2026-02-06
RET-000064,RET-000064,Riya Hayer,Riya Hayer,KJVKN8213Z,9501311574,riya64@outlook.com,M,29,1997-12-25,790,790,50965,5300000,5300000,120,5120,home_loan,home_loan,Delhi,self_employed_professional,Solar panel installation,14.95,ready_to_move,2024-06-27
RET-000065,RET-000065,Chandra Datta,Chandra Datta,IGEVP4063Q,9972213433,chandra65@hotmail.com,O,33,1993-04-28,727,727,142707,400000,400000,12,42550,personal_loan,personal_loan,Hyderabad,self_employed_professional,Home renovation,15.68,,2025-03-29
RET-000066,RET-000066,Disha Hooda,Disha Hooda,RHTLM8280M,9178382878,disha66@gmail.com,M,31,1995-06-26,854,854,46036,1900000,1900000,12,3863,personal_loan,personal_loan,Bengaluru,salaried,Consumer durables,12.98,,2024-12-06
RET-000067,RET-000067,Mrinal Bhati,Mrinal Bhati,WEFWH5284T,9210974519,mrinal67@rediffmail.com,O,28,1998-11-26,866,866,104768,60000,60000,6,11295,gold_loan,gold_loan,Bengaluru,salaried,Education,14.38,,2025-02-05
RET-000068,RET-000068,Aadhvik Sarkar,Aadhvik Sarkar,OLBBI9262J,9154608529,aadhvik68@gmail.com,F,35,1991-10-22,811,811,86785,1100000,1100000,24,19996,personal_loan,personal_loan,Bengaluru,self_employed_non_professional,Travel,10.82,,2025-07-21
RET-000069,RET-000069,Shaily Annamalai,Shaily Annamalai,ANESA9663W,9632987794,shaily69@rediffmail.com,M,31,1995-01-11,694,694,22221,600000,600000,48,4524,personal_loan,personal_loan,Bengaluru,self_employed_professional,Debt consolidation,16.01,,2026-02-15
RET-000070,RET-000070,Radhika Arumugam,Radhika Arumugam,OIVQI8196M,9245699454,radhika70@gmail.com,F,39,1987-10-25,703,703,108579,230000,230000,6,33162,gold_loan,gold_loan,Mumbai,salaried,Debt consolidation,15.96,,2024-11-08
RET-000071,RET-000071,Urvashi Prabhu,Urvashi Prabhu,KFQAD5462R,9806619820,urvashi71@gmail.com,O,23,2003-06-24,795,795,26918,400000,400000,60,2579,auto_loan,auto_loan,Bengaluru,salaried,Debt consolidation,13.94,,2025-05-17
RET-000072,RET-000072,Aishwarya Sandhu,Aishwarya Sandhu,VDAAI8416B,9150278756,aishwarya72@gmail.com,F,23,2003-08-21,774,774,96172,5600000,5600000,180,8774,home_loan,home_loan,Hyderabad,self_employed_non_professional,Wedding,16.19,under_construction,2024-10-11
RET-000073,RET-000073,Mili Mudaliar,Mili Mudaliar,XQENX3655N,9686074135,mili73@outlook.com,M,56,1970-09-23,790,790,37667,1400000,1400000,36,4975,personal_loan,personal_loan,Ahmedabad,self_employed_professional,Education,14.53,,2024-08-07
RET-000074,RET-000074,Srini Abraham,Srini Abraham,VOBBF3655W,9348859152,srini74@gmail.com,F,25,2001-07-24,824,824,90331,60000,60000,6,21964,gold_loan,gold_loan,Bengaluru,self_employed_professional,Wedding,17.34,,2024-09-29
RET-000075,RET-000075,Pranav Khanna,Pranav Khanna,TFWEJ5746B,9827345823,pranav75@outlook.com,O,49,1977-07-19,824,824,120890,1800000,1800000,120,2298,home_loan,home_loan,Bengaluru,self_employed_non_professional,Travel,17.56,under_construction,2024-04-17
RET-000076,RET-000076,Seema Iyer,Seema Iyer,UNPTJ9400M,9340329347,seema76@gmail.com,O,23,2003-12-27,828,828,349917,2000000,2000000,180,37255,home_loan,home_loan,Indore,salaried,Business expansion,14.88,under_construction,2024-09-27
RET-000077,RET-000077,Meena Rao,Meena Rao,RUNVE1009W,9450896631,meena77@hotmail.com,M,34,1992-04-05,777,777,117127,4200000,4200000,240,38231,home_loan,home_loan,Delhi,self_employed_professional,Travel,9.52,under_construction,2024-04-12
RET-000078,RET-000078,Shaily More,Shaily More,FBGXF3543V,9707114606,shaily78@outlook.com,M,31,1995-09-03,723,723,54788,70000,70000,12,13088,gold_loan,gold_loan,Bengaluru,salaried,Consumer durables,11.14,,2024-05-24
RET-000079,RET-000079,Aazeen Desai,Aazeen Desai,YSZIR4614W,9948431111,aazeen79@rediffmail.com,M,27,1999-12-09,735,735,112181,2200000,2200000,24,16506,personal_loan,personal_loan,Bengaluru,self_employed_professional,Travel,11.1,,2025-08-23
RET-000080,RET-000080,Subash Dey,Subash Dey,QWUEM1437N,9383506260,subash80@gmail.com,O,25,2001-08-05,808,808,138515,4600000,4600000,120,43010,home_loan,home_loan,Mumbai,self_employed_non_professional,Education,11.71,ready_to_move,2024-09-08
RET-000081,RET-000081,Pavan Ranade,Pavan Ranade,AAREG3945S,9713811560,pavan81@gmail.com,O,54,1972-04-24,778,778,343683,1300000,1300000,24,106404,personal_loan,personal_loan,Bengaluru,self_employed_professional,Travel,12.52,,2025-07-01
RET-000082,RET-000082,Divya George,Divya George,BLAON3063G,9765804414,divya82@rediffmail.com,O,33,1993-02-07,842,842,130122,2100000,2100000,300,9356,home_loan,home_loan,Bengaluru,salaried,Home renovation,11.79,under_construction,2025-10-14
RET-000083,RET-000083,Aazeen Biswas,Aazeen Biswas,IPQOM9326L,9447769532,aazeen83@outlook.com,O,24,2002-06-28,771,771,104406,600000,600000,36,15181,auto_loan,auto_loan,Bengaluru,self_employed_professional,Home appliances,13.08,,2024-04-21
RET-000084,RET-000084,Kunal Arora,Kunal Arora,ELIOW5578V,9405636151,kunal84@gmail.com,F,58,1968-12-06,707,707,23273,6900000,6900000,300,5814,home_loan,home_loan,Bengaluru,self_employed_non_professional,Education,12.9,under_construction,2025-03-18
RET-000085,RET-000085,Akash Mittal,Akash Mittal,DEFHR4837P,9245469990,akash85@outlook.com,O,45,1981-08-21,856,856,345595,300000,300000,12,6778,personal_loan,personal_loan,Nagpur,self_employed_non_professional,Medical emergency,12.63,,2024-04-16
RET-000086,RET-000086,Advaith Pawar,Advaith Pawar,HDMOF8209G,9544928269,advaith86@outlook.com,F,36,1990-06-09,876,876,62433,1200000,1200000,72,11175,auto_loan,auto_loan,Delhi,salaried,Solar panel installation,15.46,,2025-01-01
RET-000087,RET-000087,Vedant Duraisamy,Vedant Duraisamy,GRZNA8652S,9997247706,vedant87@rediffmail.com,F,57,1969-04-21,729,729,26754,180000,180000,18,6885,gold_loan,gold_loan,Hyderabad,salaried,Medical emergency,16.25,,2024-03-29
RET-000088,RET-000088,Rahul Thind,Rahul Thind,YYITQ1242C,9996176715,rahul88@hotmail.com,F,30,1996-11-18,862,862,93917,5300000,5300000,180,22182,home_loan,home_loan,Ahmedabad,self_employed_non_professional,Consumer durables,15.15,ready_to_move,2025-04-20
RET-000089,RET-000089,Vaishnavi Sangwan,Vaishnavi Sangwan,BBYBQ7510C,9452484360,vaishnavi89@hotmail.com,O,60,1966-07-17,887,887,254439,1100000,1100000,48,25007,auto_loan,auto_loan,Bengaluru,salaried,Education,14.78,,2024-03-31
RET-000090,RET-000090,Priya Phadke,Priya Phadke,XPCLC5159U,9750429033,priya90@outlook.com,M,52,1974-03-17,776,776,145220,180000,180000,24,46059,gold_loan,gold_loan,Pune,self_employed_non_professional,Consumer durables,17.79,,2024-09-08
RET-000091,RET-000091,Zubaida Datta,Zubaida Datta,YQYCV6450J,9315429656,zubaida91@rediffmail.com,M,29,1997-05-17,747,747,56125,170000,170000,6,5713,gold_loan,gold_loan,Delhi,salaried,Medical emergency,16.46,,2025-11-23
RET-000092,RET-000092,Madhuri Bajpai,Madhuri Bajpai,OYMJC5312X,9250740563,madhuri92@gmail.com,M,36,1990-05-16,693,693,51601,2900000,2900000,300,5429,home_loan,home_loan,Bengaluru,salaried,Wedding,10.24,ready_to_move,2025-01-02
RET-000093,RET-000093,Sahana Mehta,Sahana Mehta,SHVXK3259L,9764191355,sahana93@yahoo.co.in,F,26,2000-10-05,890,890,63145,70000,70000,18,12864,gold_loan,gold_loan,Mumbai,self_employed_non_professional,Personal expenses,18.3,,2025-03-22
RET-000094,RET-000094,Bhumi Dhaliwal,Bhumi Dhaliwal,KVSLH5365V,9311122449,bhumi94@outlook.com,O,55,1971-05-09,816,816,25587,700000,700000,36,3184,auto_loan,auto_loan,Bengaluru,self_employed_non_professional,Education,17.2,,2025-04-16
RET-000095,RET-000095,Pranav Dubey,Pranav Dubey,IQSAT1902V,9991810668,pranav95@outlook.com,M,30,1996-08-06,603,603,136081,7200000,7200000,240,15044,home_loan,home_loan,Bhopal,salaried,Wedding,9.62,under_construction,2024-11-10
RET-000096,RET-000096,Reshma Sekhon,Reshma Sekhon,JGZRK9411Q,9323945070,reshma96@rediffmail.com,F,60,1966-03-14,884,884,104499,6600000,6600000,240,4917,home_loan,home_loan,Bengaluru,salaried,Business expansion,16.45,ready_to_move,2025-11-15
RET-000097,RET-000097,Srinivas Mishra,Srinivas Mishra,HXUKG1264Z,9625023295,srinivas97@gmail.com,M,47,1979-01-22,844,844,25489,140000,140000,24,215,gold_loan,gold_loan,Bengaluru,self_employed_professional,Medical emergency,17.33,,2025-11-16
RET-000098,RET-000098,Anjali Sharma,Anjali Sharma,NNMMD9996I,9446441008,anjali98@outlook.com,O,27,1999-07-08,732,732,49325,1200000,1200000,72,4430,auto_loan,auto_loan,Hyderabad,self_employed_professional,Vehicle purchase,14.37,,2025-05-16
RET-000099,RET-000099,Nikita Kulkarni,Nikita Kulkarni,MXGZE5092U,9562042905,nikita99@rediffmail.com,F,41,1985-03-23,884,884,123040,1900000,1900000,36,5536,personal_loan,personal_loan,Bengaluru,salaried,Solar panel installation,9.91,,2026-01-08
RET-000100,RET-000100,Govind Parekh,Govind Parekh,FECDG6316E,9918606221,govind100@yahoo.co.in,M,30,1996-04-21,892,892,70427,80000,80000,24,10704,gold_loan,gold_loan,Bengaluru,self_employed_professional,Education,17.72,,2024-03-07
RET-000101,RET-000101,Komal John,Komal John,HSEBW3426B,9986276923,komal101@gmail.com,F,50,1976-05-18,796,796,108361,1100000,1100000,12,30629,personal_loan,personal_loan,Delhi,self_employed_non_professional,Debt consolidation,14.91,,2025-01-14
RET-000102,RET-000102,Ashok Menon,Ashok Menon,IIFQY7331G,9478425337,ashok102@yahoo.co.in,F,59,1967-01-04,770,770,225785,1800000,1800000,12,43402,personal_loan,personal_loan,Mumbai,self_employed_non_professional,Wedding,16.87,,2024-05-17
RET-000103,RET-000103,Aachal Sangwan,Aachal Sangwan,TCESV4007C,9895254923,aachal103@hotmail.com,M,45,1981-09-28,845,845,64906,600000,600000,48,3520,auto_loan,auto_loan,Bengaluru,self_employed_non_professional,Vehicle purchase,10.67,,2024-12-21
RET-000104,RET-000104,Gunjan Gupte,Gunjan Gupte,CBYXT3728L,9907438873,gunjan104@gmail.com,M,60,1966-07-08,557,557,125778,600000,600000,24,4277,personal_loan,personal_loan,Surat,salaried,Personal expenses,13.96,,2025-07-07
