id,application_id,name,business_name,pan,gstin,mobile,email,promoter_name,promoter_cibil_score,cibil,annual_turnover,turnover,loan_amt,loan_amount_requested,business_vintage_years,vintage,type,loan_type,collateral,collateral_value,city,industry,loan_purpose,created
SME-000031,SME-000031,Superior Consultancy Pvt Ltd,Superior Consultancy Pvt Ltd,YRJIH5335X,29YRJIH3996UZO,9156292928,superior31@gmail.com,Pramod Duraisamy,828,828,2200000,2200000,1200000,1200000,5,5,term_loan,term_loan,920000.0,920000.0,Bengaluru,Textiles & Garments,Technology upgrade,2024-12-15
SME-000032,SME-000032,Sri Foods Pvt Ltd,Sri Foods Pvt Ltd,UZWBG8543X,29UZWBG3777PZW,9605173527,sri32@gmail.com,Sabina Grewal,733,733,16900000,16900000,7100000,7100000,12,12,term_loan,term_loan,21740000.0,21740000.0,Bengaluru,Textiles & Garments,New branch setup,2024-05-21
SME-000033,SME-000033,Omega International Co-op,Omega International Co-op,WQDXB8631K,29WQDXB3316JZG,9181110813,omega33@gmail.com,Zeenat Subramaniam,898,898,3900000,3900000,1800000,1800000,5,5,term_loan,term_loan,2720000.0,2720000.0,Bengaluru,IT / Software Services,Invoice financing,2025-09-13
SME-000034,SME-000034,Samrudhi Accessories Associates,Samrudhi Accessories Associates,CQLXV2249Z,09CQLXV9350NZP,9260064408,samrudhi34@rediffmail.com,Prachi Biswas,792,792,9100000,9100000,1700000,1700000,16,16,equipment_finance,equipment_finance,7410000.0,7410000.0,Lucknow,Retail Trade,Trade finance,2025-12-25
SME-000035,SME-000035,United Packaging OPC Pvt Ltd,United Packaging OPC Pvt Ltd,NCJVD4709L,24NCJVD8117QZH,9277742518,united35@yahoo.co.in,Mohan Mehta,815,815,19100000,19100000,3200000,3200000,3,3,term_loan,term_loan,16200000.0,16200000.0,Surat,IT / Software Services,Business expansion,2024-11-23
SME-000036,SME-000036,Pragati Metals LLP,Pragati Metals LLP,OLQHB6684P,36OLQHB7485AZG,9200472434,pragati36@hotmail.com,Anand Jadhav,613,613,11000000,11000000,2400000,2400000,21,21,working_capital,working_capital,0,0,Hyderabad,Logistics,Inventory purchase,2024-08-07
SME-000037,SME-000037,Apex Electricals Pvt Ltd,Apex Electricals Pvt Ltd,TYWUW8057H,29TYWUW8619VZZ,9379374674,apex37@hotmail.com,Deepika Chatterjee,806,806,5500000,5500000,2000000,2000000,8,8,term_loan,term_loan,4760000.0,4760000.0,Bengaluru,Manufacturing,Capacity expansion,2024-12-08
SME-000038,SME-000038,Crest Solutions Pvt Ltd,Crest Solutions Pvt Ltd,REIPQ5565H,29REIPQ4968KZW,9816451860,crest38@outlook.com,Zubair Chauhan,794,794,3400000,3400000,500000,500000,15,15,invoice_discounting,invoice_discounting,0,0,Bengaluru,Education,Inventory purchase,2025-02-22
SME-000039,SME-000039,Vega Print & Co,Vega Print & Co,RJXHL7237H,29RJXHL2989FZL,9467101895,vega39@outlook.com,Pranita Philip,646,646,4000000,4000000,1000000,1000000,15,15,working_capital,working_capital,0,0,Bengaluru,Automobile Components,New branch setup,2025-10-12
SME-000040,SME-000040,Progressive Solutions Pvt Ltd,Progressive Solutions Pvt Ltd,GVEIM8313B,33GVEIM1288OZI,9233156572,progressive40@rediffmail.com,Latika Subramaniam,784,784,3800000,3800000,1400000,1400000,4,4,equipment_finance,equipment_finance,5180000.0,5180000.0,Coimbatore,Construction,New branch setup,2025-01-06
SME-000041,SME-000041,Vista Finance & Co,Vista Finance & Co,KBSGC1822L,33KBSGC7856PZV,9134607585,vista41@rediffmail.com,Anchita Bhatt,862,862,12700000,12700000,3700000,3700000,18,18,term_loan,term_loan,8560000.0,8560000.0,Chennai,Automobile Components,Project finance,2024-06-06
SME-000042,SME-000042,Pioneer Traders & Co,Pioneer Traders & Co,YWHHC9734N,29YWHHC2591WZP,9360339350,pioneer42@rediffmail.com,Sunil Modi,723,723,21800000,21800000,7700000,7700000,6,6,working_capital,working_capital,0,0,Bengaluru,Retail Trade,Shop renovation,2025-05-31
SME-000043,SME-000043,Pro Robotics Pvt Ltd,Pro Robotics Pvt Ltd,JURIQ2599H,27JURIQ5649HZW,9918339762,pro43@gmail.com,Sanchi Bajaj,847,847,21700000,21700000,500000,500000,22,22,term_loan,term_loan,24280000.0,24280000.0,Mumbai,Textiles & Garments,Inventory purchase,2024-09-28
SME-000044,SME-000044,World Auto Components LLP,World Auto Components LLP,YVUZJ8260J,29YVUZJ6180EZM,9657152998,world44@rediffmail.com,Sridhar Hayer,777,777,14600000,14600000,2100000,2100000,8,8,term_loan,term_loan,20890000.0,20890000.0,Bengaluru,Pharmaceuticals,Technology upgrade,2024-09-14
SME-000045,SME-000045,Padmavathi Hospital Associates,Padmavathi Hospital Associates,PSNNL5949U,33PSNNL8318FZV,9188687518,padmavathi45@gmail.com,Karthik Sidhu,827,827,1500000,1500000,600000,600000,18,18,term_loan,term_loan,2110000.0,2110000.0,Chennai,IT / Software Services,Inventory purchase,2025-08-28
SME-000046,SME-000046,Dynamic Solutions Associates,Dynamic Solutions Associates,DKXKN5026I,09DKXKN3905RZD,9640049722,dynamic46@yahoo.co.in,Pranita Annamalai,702,702,6600000,6600000,700000,700000,6,6,working_capital,working_capital,0,0,Lucknow,Retail Trade,Business expansion,2025-05-17
SME-000047,SME-000047,Landmark Labs Associates,Landmark Labs Associates,CKXLM1689O,29CKXLM1281DZC,9897618274,landmark47@outlook.com,Manish Ghosh,853,853,11600000,11600000,3500000,3500000,16,16,equipment_finance,equipment_finance,13710000.0,13710000.0,Bengaluru,Automobile Components,Technology upgrade,2024-08-15
SME-000048,SME-000048,Pro Garments Co-op,Pro Garments Co-op,EKWFX6700F,29EKWFX7951DZX,9329649447,pro48@yahoo.co.in,Jayesh Thakkar,714,714,28300000,28300000,12100000,12100000,13,13,working_capital,working_capital,0,0,Bengaluru,IT / Software Services,Technology upgrade,2025-10-20
SME-000049,SME-000049,Bright Manufacturing Pvt Ltd,Bright Manufacturing Pvt Ltd,JIQWK6673O,29JIQWK2496XZW,9580705625,bright49@outlook.com,Chanchal Ganguly,753,753,6500000,6500000,2500000,2500000,8,8,working_capital,working_capital,0,0,Bengaluru,Retail Trade,New branch setup,2024-07-06
SME-000050,SME-000050,Pride Agro Pvt Ltd,Pride Agro Pvt Ltd,PDAUA9492U,29PDAUA9120DZI,9186227383,pride50@outlook.com,Aadhvik Pawar,770,770,3200000,3200000,900000,900000,16,16,equipment_finance,equipment_finance,2620000.0,2620000.0,Bengaluru,Automobile Components,Export financing,2024-09-30
SME-000051,SME-000051,Ashoka Consultancy & Co,Ashoka Consultancy & Co,OWWZF3033W,29OWWZF2275AZP,9524082839,ashoka51@yahoo.co.in,Aanya Sundaram,750,750,63200000,63200000,36600000,36600000,19,19,term_loan,term_loan,27810000.0,27810000.0,Bengaluru,Automobile Components,Invoice financing,2025-04-03
SME-000052,SME-000052,Prime Agro Co-op,Prime Agro Co-op,JBEZB6561D,29JBEZB1795PZF,9653601188,prime52@rediffmail.com,Pinky Ramachandran,715,715,3300000,3300000,1500000,1500000,17,17,working_capital,working_capital,0,0,Bengaluru,Food Processing,Trade finance,2025-03-25
SME-000053,SME-000053,Synergy Telecom Pvt Ltd,Synergy Telecom Pvt Ltd,KIRBF3142W,29KIRBF8625HZK,9870914679,synergy53@hotmail.com,Abha Iyengar,715,715,3700000,3700000,2100000,2100000,6,6,working_capital,working_capital,0,0,Bengaluru,Retail Trade,Invoice financing,2024-06-18
SME-000054,SME-000054,Raj Apparels Associates,Raj Apparels Associates,JEOEP1446A,29JEOEP7970FZX,9219762853,raj54@yahoo.co.in,Vishnu Venkatesan,679,679,3500000,3500000,900000,900000,17,17,invoice_discounting,invoice_discounting,0,0,Bengaluru,Retail Trade,Business expansion,2025-02-17
SME-000055,SME-000055,Siddhi Metals Pvt Ltd,Siddhi Metals Pvt Ltd,AONJQ4747E,29AONJQ3094ZZA,9754945731,siddhi55@gmail.com,Nandini Veerasamy,851,851,3300000,3300000,800000,800000,21,21,working_capital,working_capital,0,0,Bengaluru,IT / Software Services,Business expansion,2025-06-22
SME-000056,SME-000056,Smart Diagnostics Associates,Smart Diagnostics Associates,OQBOP1754N,07OQBOP3942YZP,9138644217,smart56@yahoo.co.in,Shruti Lodha,886,886,3300000,3300000,700000,700000,12,12,working_capital,working_capital,0,0,Delhi,Printing & Packaging,Project finance,2025-11-22
SME-000057,SME-000057,Padmavathi Metals Associates,Padmavathi Metals Associates,CWQRR9086X,27CWQRR7188IZA,9777123881,padmavathi57@gmail.com,Stuti Kamble,797,797,13200000,13200000,7800000,7800000,11,11,working_capital,working_capital,0,0,Mumbai,Agriculture,Project finance,2024-12-30
SME-000058,SME-000058,Disha Infotech OPC Pvt Ltd,Disha Infotech OPC Pvt Ltd,IIQWQ7151Y,29IIQWQ2830XZY,9530807229,disha58@yahoo.co.in,Himanshu Chakraborty,684,684,45800000,45800000,6800000,6800000,3,3,invoice_discounting,invoice_discounting,0,0,Bengaluru,Retail Trade,Inventory purchase,2025-01-11
SME-000059,SME-000059,Sunrise Robotics Pvt Ltd,Sunrise Robotics Pvt Ltd,OONFP4798S,29OONFP9879OZV,9143131675,sunrise59@rediffmail.com,Fatima Ganguly,888,888,85400000,85400000,43800000,43800000,4,4,equipment_finance,equipment_finance,110700000.0,110700000.0,Bengaluru,Textiles & Garments,Machinery purchase,2024-09-20
SME-000060,SME-000060,Rajendra Exports Co-op,Rajendra Exports Co-op,HYMDO8684U,19HYMDO7976EZI,9800428763,rajendra60@yahoo.co.in,Aarchi Chitale,749,749,3500000,3500000,2000000,2000000,2,2,invoice_discounting,invoice_discounting,0,0,Kolkata,Manufacturing,Capacity expansion,2025-04-06
SME-000061,SME-000061,Anand Spares OPC Pvt Ltd,Anand Spares OPC Pvt Ltd,HGZEX9099N,36HGZEX9948ZZM,9110164906,anand61@outlook.com,Prashanth Desai,722,722,13800000,13800000,2100000,2100000,21,21,invoice_discounting,invoice_discounting,0,0,Hyderabad,IT / Software Services,Technology upgrade,2024-06-20
SME-000062,SME-000062,Matrix Foods Group,Matrix Foods Group,IHEUA3647B,29IHEUA2768OZB,9138953691,matrix62@hotmail.com,Shruti Desai,652,652,3000000,3000000,600000,600000,13,13,equipment_finance,equipment_finance,2210000.0,2210000.0,Bengaluru,Manufacturing,Capacity expansion,2024-09-06
SME-000063,SME-000063,Ultra Software Co-op,Ultra Software Co-op,DDILA7160P,07DDILA1643NZQ,9601575595,ultra63@outlook.com,Anil Bhattacharya,723,723,4700000,4700000,1600000,1600000,18,18,invoice_discounting,invoice_discounting,0,0,Delhi,Steel & Metals,New branch setup,2024-05-13
SME-000064,SME-000064,Vishnu Electronics Pvt Ltd,Vishnu Electronics Pvt Ltd,VZUML1184L,29VZUML4132TZO,9596538433,vishnu64@yahoo.co.in,Aashna D'Souza,805,805,29100000,29100000,5500000,5500000,5,5,term_loan,term_loan,15220000.0,15220000.0,Bengaluru,Manufacturing,Inventory purchase,2025-05-27
SME-000065,SME-000065,Galaxy Infotech OPC Pvt Ltd,Galaxy Infotech OPC Pvt Ltd,JHITO1426R,07JHITO8935WZU,9532890808,galaxy65@gmail.com,Seema Ranade,802,802,9200000,9200000,2700000,2700000,6,6,project_finance,project_finance,4170000.0,4170000.0,Delhi,Retail Trade,Working capital,2026-02-23
SME-000066,SME-000066,Landmark Infotech Group,Landmark Infotech Group,EOWWN5916U,27EOWWN8134JZF,9340347690,landmark66@outlook.com,Yash John,860,860,8500000,8500000,1500000,1500000,11,11,term_loan,term_loan,7100000.0,7100000.0,Pune,Pharmaceuticals,Trade finance,2025-04-05
SME-000067,SME-000067,Padmavathi Electronics & Co,Padmavathi Electronics & Co,NHAOS7233R,29NHAOS5843RZS,9852456952,padmavathi67@gmail.com,Abirami Phogat,744,744,2300000,2300000,1000000,1000000,10,10,term_loan,term_loan,3270000.0,3270000.0,Bengaluru,IT / Software Services,Technology upgrade,2024-09-19
SME-000068,SME-000068,Lakshmi Events Pvt Ltd,Lakshmi Events Pvt Ltd,DJGAX2436R,27DJGAX8012AZW,9825785828,lakshmi68@rediffmail.com,Govind Rodrigues,726,726,7500000,7500000,800000,800000,13,13,working_capital,working_capital,0,0,Mumbai,Textiles & Garments,Shop renovation,2026-02-09
SME-000069,SME-000069,Beta Consultancy Group,Beta Consultancy Group,BBRYI9228G,29BBRYI3331IZU,9926221863,beta69@outlook.com,Aditya Kshirsagar,854,854,92600000,92600000,21600000,21600000,16,16,term_loan,term_loan,102700000.0,102700000.0,Bengaluru,Textiles & Garments,Invoice financing,2025-04-17
SME-000070,SME-000070,Rising International & Co,Rising International & Co,UKDMO1534E,24UKDMO5224EZX,9368149073,rising70@hotmail.com,Ashish Rao,761,761,4100000,4100000,700000,700000,21,21,equipment_finance,equipment_finance,1820000.0,1820000.0,Surat,Construction,Trade finance,2025-10-03
SME-000071,SME-000071,Chetan Fabrics Associates,Chetan Fabrics Associates,VDKOO1757U,29VDKOO8349LZD,9704073178,chetan71@gmail.com,Varun Gowda,664,664,4500000,4500000,500000,500000,9,9,term_loan,term_loan,5280000.0,5280000.0,Bengaluru,Retail Trade,New branch setup,2024-05-21
SME-000072,SME-000072,Gopala Studios LLP,Gopala Studios LLP,JROBU8478L,09JROBU8760KZW,9902186043,gopala72@hotmail.com,Bhavana Kamath,726,726,7300000,7300000,4000000,4000000,7,7,term_loan,term_loan,8790000.0,8790000.0,Lucknow,Logistics,New branch setup,2024-12-27
SME-000073,SME-000073,Omega Plastics & Co,Omega Plastics & Co,HUVSU1917R,29HUVSU7969TZI,9772983213,omega73@outlook.com,Rahul Apte,777,777,40900000,40900000,14800000,14800000,17,17,equipment_finance,equipment_finance,23080000.0,23080000.0,Bengaluru,Printing & Packaging,Machinery purchase,2025-12-08
SME-000074,SME-000074,Majestic Automation Co-op,Majestic Automation Co-op,GMUNM8913S,27GMUNM8988JZQ,9422390423,majestic74@outlook.com,Aayat Mukherjee,862,862,17000000,17000000,6300000,6300000,9,9,invoice_discounting,invoice_discounting,0,0,Pune,Textiles & Garments,Capacity expansion,2025-12-18
SME-000075,SME-000075,Naveen Electronics Co-op,Naveen Electronics Co-op,DMMCF7795R,24DMMCF9149JZN,9739359967,naveen75@yahoo.co.in,Anjali Kale,737,737,4100000,4100000,500000,500000,13,13,working_capital,working_capital,0,0,Ahmedabad,Manufacturing,Technology upgrade,2025-06-03
SME-000076,SME-000076,Arunodaya Solutions OPC Pvt Ltd,Arunodaya Solutions OPC Pvt Ltd,NVYJE6944A,36NVYJE7247HZG,9586198750,arunodaya76@yahoo.co.in,Manisha Nair,843,843,1900000,1900000,600000,600000,8,8,working_capital,working_capital,0,0,Hyderabad,Retail Trade,Invoice financing,2025-02-17
SME-000077,SME-000077,Pro Auto Components Pvt Ltd,Pro Auto Components Pvt Ltd,UDEQO4515K,07UDEQO9881BZR,9573822250,pro77@outlook.com,Ashish Raval,789,789,2400000,2400000,1400000,1400000,5,5,term_loan,term_loan,2190000.0,2190000.0,Delhi,Retail Trade,Invoice financing,2024-03-20
SME-000078,SME-000078,Konkan Textiles Pvt Ltd,Konkan Textiles Pvt Ltd,JLQQV5626M,27JLQQV2061VZC,9947821833,konkan78@rediffmail.com,Rashi Malhotra,891,891,60400000,60400000,32600000,32600000,9,9,term_loan,term_loan,68250000.0,68250000.0,Pune,Textiles & Garments,Invoice financing,2025-01-27
SME-000079,SME-000079,Pride Hospital Pvt Ltd,Pride Hospital Pvt Ltd,IZKOU5597U,27IZKOU4868OZU,9574983920,pride79@outlook.com,Sarath Yadav,834,834,8900000,8900000,3000000,3000000,17,17,project_finance,project_finance,4830000.0,4830000.0,Mumbai,Construction,Capacity expansion,2024-12-15
SME-000080,SME-000080,Satyam Media Pvt Ltd,Satyam Media Pvt Ltd,QFWWQ6646P,36QFWWQ6142AZI,9147179269,satyam80@gmail.com,Rupesh Murthy,893,893,17100000,17100000,3800000,3800000,10,10,term_loan,term_loan,20480000.0,20480000.0,Hyderabad,Real Estate,Capacity expansion,2025-12-08
SME-000081,SME-000081,One Packaging OPC Pvt Ltd,One Packaging OPC Pvt Ltd,IINML6177X,29IINML2848YZP,9209146905,one81@gmail.com,Ishika Mehta,772,772,5300000,5300000,3000000,3000000,14,14,working_capital,working_capital,0,0,Bengaluru,Textiles & Garments,New branch setup,2025-11-17
SME-000082,SME-000082,Prakash Studios Pvt Ltd,Prakash Studios Pvt Ltd,DGNQK6753T,27DGNQK7745QZI,9277190523,prakash82@rediffmail.com,Sachin Annamalai,792,792,4700000,4700000,500000,500000,5,5,working_capital,working_capital,0,0,Mumbai,Textiles & Garments,Invoice financing,2025-12-19
SME-000083,SME-000083,Yashoda Logistics Pvt Ltd,Yashoda Logistics Pvt Ltd,OIFYZ4926U,27OIFYZ9049PZX,9536493384,yashoda83@hotmail.com,Sumanth Veerasamy,893,893,63100000,63100000,37400000,37400000,3,3,working_capital,working_capital,0,0,Mumbai,Textiles & Garments,Invoice financing,2024-05-12
SME-000084,SME-000084,Sarvam Exports Group,Sarvam Exports Group,ZMZWP8424K,29ZMZWP3452VZV,9625495349,sarvam84@gmail.com,Aamani Patel,874,874,3400000,3400000,2000000,2000000,22,22,project_finance,project_finance,4790000.0,4790000.0,Bengaluru,Pharmaceuticals,Machinery purchase,2024-11-10
SME-000085,SME-000085,Kamala Projects Pvt Ltd,Kamala Projects Pvt Ltd,RJVAF8943M,19RJVAF3209FZZ,9653505871,kamala85@outlook.com,Madhuri Chatterjee,748,748,20000000,20000000,2400000,2400000,18,18,project_finance,project_finance,15180000.0,15180000.0,Kolkata,Food Processing,Inventory purchase,2025-03-04
SME-000086,SME-000086,Gopala Textiles Co-op,Gopala Textiles Co-op,QZGOJ5073C,29QZGOJ6292LZT,9439908309,gopala86@rediffmail.com,Amrita Aiyar,864,864,54100000,54100000,29200000,29200000,21,21,working_capital,working_capital,0,0,Bengaluru,Retail Trade,Machinery purchase,2025-02-12
